,model,subject,acc
0,MPII,s25,248.20395221883217
1,MPII,s81,237.49366321908764
2,MPII,s61,109.10312037004456
3,MPII,s87,218.87272939406563
4,MPII,s86,294.9783880379498
5,MPII,s58,255.99634067430895
6,MPII,s3,190.1833978297484
7,MPII,s53,116.24229914609684
8,MPII,s66,138.11298387381035
9,MPII,s73,153.0930471676752
10,MPII,s75,255.70558440441656
11,MPII,s71,136.19885506674464
12,MPII,s2,373.8592665128039
13,MPII,s46,213.6961839474121
14,MPII,s23,331.1933404737882
15,MPII,s59,416.05719668152415
16,MPII,s39,106.29396094972743
17,MPII,s63,154.48626690847158
18,MPII,s9,457.19877688352864
19,MPII,s19,290.8669185824991
20,MPII,s114,166.17288426815003
21,MPII,s5,147.3026497197257
22,MPII,s113,205.17947308367235
23,MPII,s98,195.5028872374696
24,MPII,s104,256.5440320381615
25,MPII,s77,315.7995520176503
26,MPII,s34,209.7663181809086
27,MPII,s111,177.8725960246025
28,MPII,s78,308.18355185167417
29,MPII,s40,210.3320468260245
30,MPII,s79,243.41075663579687
31,MPII,s55,253.71633180377265
32,MPII,s1,154.09043056362185
33,MPII,s21,162.9483096439508
34,MPII,s41,199.03115906106
35,MPII,s68,202.11335406345205
36,MPII,s90,218.58798571811357
37,MPII,s30,189.0346984769098
38,MPII,s64,552.1681847588408
39,MPII,s28,236.46657217913588
40,MPII,s110,110.29539209480497
41,MPII,s20,120.60671014244478
42,MPII,s85,269.6893380541577
43,MPII,s8,167.1217336360366
44,MPII,s27,169.37542076987123
45,MPII,s60,127.44351816010604
46,MPII,s18,206.7844806709996
47,MPII,s80,95.42592826059744
48,MPII,s93,146.91587122011765
49,MPII,s43,164.41031771099793
50,MPII,s56,131.69289629076894
51,MPII,s82,433.1094977659915
52,MPII,s31,230.48232029724028
53,MPII,s52,146.13689780864962
54,MPII,s17,157.2346689350858
55,MPII,s92,175.6293991975283
56,MPII,s4,160.19500455637456
57,MPII,s6,262.6585596570807
58,MPII,s117,178.21424811705708
59,MPII,s49,136.19540215319816
60,MPII,s115,118.06528513938788
61,MPII,s103,144.43690986524726
62,MPII,s102,165.41837922872443
63,MPII,s32,176.10953615246984
64,MPII,s44,103.58248891385904
65,ETH,s25,313.7028455236913
66,ETH,s81,544.0725091027704
67,ETH,s61,855.2451106696933
68,ETH,s87,685.0963877769462
69,ETH,s86,144.09452574055578
70,ETH,s58,153.67891409992677
71,ETH,s3,160.46243558169652
72,ETH,s53,112.21849395637436
73,ETH,s66,131.2667232390109
74,ETH,s73,146.15685596689457
75,ETH,s75,112.2528778385222
76,ETH,s71,223.01533077060995
77,ETH,s2,260.3259012578183
78,ETH,s46,265.24081968890096
79,ETH,s23,175.65997789369106
80,ETH,s59,383.2325026283789
81,ETH,s39,180.10892968506914
82,ETH,s63,232.1180784878068
83,ETH,s9,310.6961030592176
84,ETH,s19,289.3168885500222
85,ETH,s114,233.80986405986104
86,ETH,s5,121.44335224282727
87,ETH,s113,253.93972568698567
88,ETH,s98,119.11279183650238
89,ETH,s104,141.2562439258679
90,ETH,s77,160.5192720679204
91,ETH,s34,119.81318765774368
92,ETH,s111,122.16243286989572
93,ETH,s78,223.03054385074387
94,ETH,s40,166.90963573074723
95,ETH,s79,170.09704568229134
96,ETH,s55,217.02466764107788
97,ETH,s1,203.8340916172494
98,ETH,s21,160.24174297458987
99,ETH,s41,185.68197944303407
100,ETH,s68,147.57272809541053
101,ETH,s90,205.4412221154856
102,ETH,s30,245.4431442110897
103,ETH,s64,95.29084767114124
104,ETH,s28,200.8571400331598
105,ETH,s110,112.31816190464762
106,ETH,s20,167.5564095738984
107,ETH,s85,200.8486182908196
108,ETH,s8,168.4432394004578
109,ETH,s27,215.472235776756
110,ETH,s60,109.83084597246454
111,ETH,s18,162.72375529207116
112,ETH,s80,119.68035877633886
113,ETH,s93,145.84619736125583
114,ETH,s43,241.0850326303085
115,ETH,s56,132.25642458114567
116,ETH,s82,234.8083790278725
117,ETH,s31,181.76566740910283
118,ETH,s52,150.0551230311572
119,ETH,s17,193.6449513393821
120,ETH,s92,81.69487965282974
121,ETH,s4,176.007951382921
122,ETH,s6,221.6785647287632
123,ETH,s117,150.80092363447383
124,ETH,s49,144.08130130031205
125,ETH,s115,162.3312800798516
126,ETH,s103,121.08274177989308
127,ETH,s102,134.32042649771523
128,ETH,s32,157.2185162904198
129,ETH,s44,163.25442936142673
130,FAZE,s25,143.40215738823355
131,FAZE,s81,111.58809117533625
132,FAZE,s61,120.1514869646513
133,FAZE,s87,213.20560805017095
134,FAZE,s86,169.47168711957266
135,FAZE,s58,240.93247193341395
136,FAZE,s3,122.19742560095509
137,FAZE,s53,102.9478019636842
138,FAZE,s66,111.81402406542811
139,FAZE,s73,171.54436166962918
140,FAZE,s75,100.41517627795244
141,FAZE,s71,87.8590083286575
142,FAZE,s2,156.79249827215716
143,FAZE,s46,134.18020856838228
144,FAZE,s23,204.48573563409724
145,FAZE,s59,246.75742309387
146,FAZE,s39,77.70291013608335
147,FAZE,s63,123.48414684565869
148,FAZE,s9,207.19339840512416
149,FAZE,s19,149.44123227968186
150,FAZE,s114,190.5718952685315
151,FAZE,s5,76.72290748819907
152,FAZE,s113,163.4236366472207
153,FAZE,s98,128.74322498829812
154,FAZE,s104,133.14315588802734
155,FAZE,s77,167.8383730193711
156,FAZE,s34,88.53261743612897
157,FAZE,s111,78.36889833282035
158,FAZE,s78,284.25201196053905
159,FAZE,s40,131.80880379487107
160,FAZE,s79,124.17886201577974
161,FAZE,s55,154.28383246553085
162,FAZE,s1,67.51338288440715
163,FAZE,s21,114.05809204596484
164,FAZE,s41,117.83923288206203
165,FAZE,s68,156.6638456266309
166,FAZE,s90,138.44538427837406
167,FAZE,s30,133.0939988860701
168,FAZE,s64,580.2702602562366
169,FAZE,s28,155.34601871659098
170,FAZE,s110,111.38318868734925
171,FAZE,s20,84.51478845202632
172,FAZE,s85,206.58165360265295
173,FAZE,s8,112.91206332636996
174,FAZE,s27,121.27540889377414
175,FAZE,s60,77.6959079272542
176,FAZE,s18,78.41333017290816
177,FAZE,s80,62.66259137717289
178,FAZE,s93,87.91658075220832
179,FAZE,s43,128.5081240532651
180,FAZE,s56,143.30329723411032
181,FAZE,s82,225.5872866030197
182,FAZE,s31,155.45160405312706
183,FAZE,s52,98.02554998858588
184,FAZE,s17,127.321258444749
185,FAZE,s92,91.26986605125458
186,FAZE,s4,102.07515817138484
187,FAZE,s6,166.21191344674114
188,FAZE,s117,110.10397497214804
189,FAZE,s49,98.5734906699935
190,FAZE,s115,118.04999467470164
191,FAZE,s103,87.61659400025873
192,FAZE,s102,124.66499020067684
193,FAZE,s32,100.48048258274724
194,FAZE,s44,88.65398059060053
