,model,subject,rms
0,MPII,s25,215.53454270921236
1,MPII,s81,138.8140651040308
2,MPII,s61,67.65606538255454
3,MPII,s87,111.79910208108716
4,MPII,s86,130.37557423322778
5,MPII,s58,204.6785142022503
6,MPII,s3,102.32771368734036
7,MPII,s53,60.81049391841451
8,MPII,s66,115.65779276307372
9,MPII,s73,124.52489706033244
10,MPII,s75,113.91376331547546
11,MPII,s71,81.64545729149827
12,MPII,s2,248.5932915426457
13,MPII,s46,146.17737968971076
14,MPII,s23,120.64529759650245
15,MPII,s59,127.2068667015327
16,MPII,s39,88.55156035470445
17,MPII,s63,104.31563884096268
18,MPII,s9,218.0917267687909
19,MPII,s19,194.2849741361001
20,MPII,s114,117.6222068770874
21,MPII,s5,97.26672647485518
22,MPII,s113,142.81631939291134
23,MPII,s98,118.7244228006087
24,MPII,s104,125.2546360491584
25,MPII,s77,140.26922686009553
26,MPII,s34,200.37970720608277
27,MPII,s111,171.4971065719533
28,MPII,s78,160.9248089118077
29,MPII,s40,148.54644611804235
30,MPII,s79,174.02819787240185
31,MPII,s55,167.80457071763232
32,MPII,s1,98.2899190874126
33,MPII,s21,157.23136808408435
34,MPII,s41,121.0684541146208
35,MPII,s68,94.34278863074776
36,MPII,s90,167.23907999601388
37,MPII,s30,102.0344293834212
38,MPII,s64,76.11163231579818
39,MPII,s28,129.09596956181582
40,MPII,s110,85.25672036880434
41,MPII,s20,89.97186989528669
42,MPII,s85,179.37816375382104
43,MPII,s8,133.86935465975918
44,MPII,s27,114.8342700246582
45,MPII,s60,72.51105912675828
46,MPII,s18,148.41539403917162
47,MPII,s80,115.52040160990212
48,MPII,s93,128.89362483432495
49,MPII,s43,101.66060823460728
50,MPII,s56,81.92431371078322
51,MPII,s82,175.78300182893537
52,MPII,s31,117.0544777919246
53,MPII,s52,117.17568925201624
54,MPII,s17,111.01603592278562
55,MPII,s92,111.55478553830658
56,MPII,s4,114.36535903834104
57,MPII,s6,164.2424390856744
58,MPII,s117,135.19210028897913
59,MPII,s49,81.70621805850004
60,MPII,s115,94.84754592111616
61,MPII,s103,74.7017315265237
62,MPII,s102,152.90936520416534
63,MPII,s32,112.05328875340982
64,MPII,s44,83.80451933113362
65,ETH,s25,194.1910426696624
66,ETH,s81,141.37694763747385
67,ETH,s61,57.9260395801539
68,ETH,s87,81.22287504326457
69,ETH,s86,132.14375775306036
70,ETH,s58,140.3315186812802
71,ETH,s3,74.05135742867185
72,ETH,s53,45.05097565015527
73,ETH,s66,99.29589937962604
74,ETH,s73,80.48104617904673
75,ETH,s75,74.8799389144404
76,ETH,s71,53.55412805109791
77,ETH,s2,150.23212637918846
78,ETH,s46,69.65396214312685
79,ETH,s23,125.60736892071616
80,ETH,s59,117.4557390050784
81,ETH,s39,68.35684154855515
82,ETH,s63,62.81428096364457
83,ETH,s9,185.92257564177265
84,ETH,s19,159.32089422158705
85,ETH,s114,85.77695674094126
86,ETH,s5,60.57173861415905
87,ETH,s113,134.12065817510054
88,ETH,s98,83.80296473662561
89,ETH,s104,150.81287465379071
90,ETH,s77,108.12820600035188
91,ETH,s34,109.23994774930114
92,ETH,s111,101.14397738463649
93,ETH,s78,98.6459176653489
94,ETH,s40,123.7791656258532
95,ETH,s79,164.2741016483928
96,ETH,s55,159.41468171501134
97,ETH,s1,82.87723146802335
98,ETH,s21,122.92019938363784
99,ETH,s41,81.76601559283145
100,ETH,s68,51.04577765741573
101,ETH,s90,182.72260707701747
102,ETH,s30,75.3549121011395
103,ETH,s64,35.53352326448099
104,ETH,s28,89.76372073072504
105,ETH,s110,75.75543346728244
106,ETH,s20,64.58850551095782
107,ETH,s85,102.3942927997937
108,ETH,s8,88.77017283975667
109,ETH,s27,113.950418769561
110,ETH,s60,60.39162870081098
111,ETH,s18,90.40561718424732
112,ETH,s80,110.62239724571228
113,ETH,s93,83.21629500609576
114,ETH,s43,87.22769438848854
115,ETH,s56,57.67890371643125
116,ETH,s82,130.41794320226683
117,ETH,s31,63.059282089285226
118,ETH,s52,124.58279086843211
119,ETH,s17,57.82662647470612
120,ETH,s92,63.15448538331507
121,ETH,s4,87.29103709476422
122,ETH,s6,86.85392335048046
123,ETH,s117,172.42024696840994
124,ETH,s49,76.2001189364926
125,ETH,s115,85.67963200083298
126,ETH,s103,47.49468388544455
127,ETH,s102,77.65199430563038
128,ETH,s32,95.94752698079412
129,ETH,s44,56.57565321290921
130,FAZE,s25,55.91837932082821
131,FAZE,s81,28.2435189613252
132,FAZE,s61,15.77387921178708
133,FAZE,s87,20.2590991670249
134,FAZE,s86,25.06292435538551
135,FAZE,s58,47.03533949142932
136,FAZE,s3,30.486161909022982
137,FAZE,s53,11.008310341312823
138,FAZE,s66,34.79295634740536
139,FAZE,s73,32.42412321419221
140,FAZE,s75,24.68440861000599
141,FAZE,s71,14.536082540526252
142,FAZE,s2,41.39006826365439
143,FAZE,s46,14.559720859490149
144,FAZE,s23,37.441976233802606
145,FAZE,s59,38.65942539558225
146,FAZE,s39,13.368476699196368
147,FAZE,s63,15.489939742052092
148,FAZE,s9,60.488579016154986
149,FAZE,s19,32.56569776133037
150,FAZE,s114,21.792882885201543
151,FAZE,s5,12.110690558193593
152,FAZE,s113,41.978478411802
153,FAZE,s98,19.401029239168704
154,FAZE,s104,30.00595870573959
155,FAZE,s77,36.97208910881899
156,FAZE,s34,25.473651106058416
157,FAZE,s111,25.14600395418135
158,FAZE,s78,44.19210724902639
159,FAZE,s40,31.7130821918464
160,FAZE,s79,38.36601950866956
161,FAZE,s55,50.53602446264024
162,FAZE,s1,10.997343886165044
163,FAZE,s21,26.630842039582973
164,FAZE,s41,21.943863281266168
165,FAZE,s68,14.521814768619484
166,FAZE,s90,43.342741463456086
167,FAZE,s30,18.478655771903824
168,FAZE,s64,23.180385562475085
169,FAZE,s28,17.374432058337415
170,FAZE,s110,15.306357930723744
171,FAZE,s20,16.438404903258682
172,FAZE,s85,33.27815088789023
173,FAZE,s8,20.737765209360223
174,FAZE,s27,35.726398967979115
175,FAZE,s60,13.106091459565077
176,FAZE,s18,35.1519725375892
177,FAZE,s80,20.33247940462913
178,FAZE,s93,20.261740502398084
179,FAZE,s43,30.020149494781464
180,FAZE,s56,11.55344251997653
181,FAZE,s82,25.83110475260886
182,FAZE,s31,11.528939330825567
183,FAZE,s52,38.33404885022784
184,FAZE,s17,15.16143852694663
185,FAZE,s92,13.88316522469628
186,FAZE,s4,17.025342703789928
187,FAZE,s6,27.85212602358227
188,FAZE,s117,34.24591386782143
189,FAZE,s49,19.02798873222589
190,FAZE,s115,18.07241809744918
191,FAZE,s103,11.403934030858892
192,FAZE,s102,23.11663089723719
193,FAZE,s32,25.76146875604944
194,FAZE,s44,15.035191686117567
